,IDF,Word
0,0.7198154276421066,เงิน
1,0.5240708505160113,ไม่
2,0.3794896217049037,ได้
3,0.40876000400501694,ครับ
4,1.9793580831228534,ถอน
5,0.8967461358011849,เข้า
6,0.5020919437972361,ผม
7,1.4685324593568627,ฝาก
8,0.5695332245927687,แล้ว
9,0.6800750989925926,ทำ
10,0.8967461358011849,การ
11,0.7198154276421066,ให้
12,0.8043728156701697,จะ
13,1.2396908869280152,ปรับ
14,0.8191879014553103,ไหม
15,1.0920548881219507,ทำไม
16,1.4685324593568627,ยอด
17,1.072636802264849,ค่ะ
18,0.9130066566729652,ไป
19,0.8967461358011849,ไหน
20,0.9463430769405569,ไง
21,1.0920548881219507,หน่อย
22,1.0920548881219507,ยังไง
23,1.5898933163611302,บัญชี
24,1.262680405152714,เลย
25,1.55814461804655,ยัง
26,1.1526795099383853,มี
27,1.1526795099383853,ที่
28,1.072636802264849,ต้อง
29,1.8458266904983307,ราย
30,1.33500106673234,นี้
31,1.4975199962301151,ขอ
32,1.1737329191362178,อะไร
33,1.9328380674879606,เล่น
34,1.622683139184121,แต่
35,1.9793580831228534,รับ
36,2.826655943510057,บิล
37,2.3158303197440664,เลิก
38,1.262680405152714,อยาก
39,2.3848231912310176,ยก
40,1.5898933163611302,กด
41,1.7280436548419473,ใช้
42,1.9328380674879606,ผ่าน
43,2.3158303197440664,แบบ
44,1.4129626082020519,ที
45,1.3862943611198906,ตรง
46,2.4589311633847397,รหัส
47,1.9328380674879606,นาน
48,2.1906671767900603,แทง
49,1.5898933163611302,ไร
50,1.8458266904983307,เดิม
51,1.7280436548419473,ใน
52,1.8883863049171268,พัน
53,2.1906671767900603,ผิด
54,1.7280436548419473,ตอน
55,1.6916760106710724,ว่า
56,2.028148247292285,ไม
57,1.5898933163611302,เป็น
58,2.0794415416798357,เว็บ
59,1.9328380674879606,ดู
60,2.1906671767900603,ปิด
61,1.622683139184121,อ่ะ
62,2.3848231912310176,ขั้น
63,1.7657839828247943,มา
64,2.028148247292285,แจ้ง
65,1.7657839828247943,บ้าง
66,2.1906671767900603,รอ
67,2.3848231912310176,ถูก
68,3.2321210516182215,หวย
69,2.1906671767900603,หน้า
70,2.133508762950112,ตั้ง
71,2.3848231912310176,เปลี่ยน
72,2.826655943510057,ต่ำ
73,3.9252682321781664,ซี่
74,2.0794415416798357,ตรวจ
75,2.1906671767900603,ใหม่
76,2.2512917986064953,คือ
77,2.7212954278522306,เท่าไร
78,2.9444389791664403,ย้าย
79,4.330733340286331,เพ
80,4.330733340286331,ย์
81,2.133508762950112,ขึ้น
82,2.3848231912310176,ส
83,2.133508762950112,สอบ
84,1.8050046959780757,หรอ
85,2.3158303197440664,ไข
86,2.133508762950112,อีก
87,4.330733340286331,อี
88,2.3158303197440664,ระบบ
89,3.414442608412176,ชื่อ
90,2.538973871058276,บาท
91,3.2321210516182215,ฟรี
92,2.538973871058276,บอล
93,2.028148247292285,สัก
94,2.4589311633847397,แก้
95,2.3848231912310176,เมื่อ
96,3.2321210516182215,ระงับ
97,2.7212954278522306,สมัคร
98,2.826655943510057,ลืม
99,2.2512917986064953,วัน
100,2.2512917986064953,โอน
101,2.1906671767900603,ถึง
102,2.1906671767900603,จาก
103,2.826655943510057,โบนัส
104,2.826655943510057,ยูส
105,2.3158303197440664,ช่วย
106,2.1906671767900603,นะ
107,1.9793580831228534,มัน
108,2.9444389791664403,ยืน
109,2.3848231912310176,เห็น
110,2.826655943510057,หมุน
111,2.826655943510057,ออก
112,2.9444389791664403,ยัน
113,3.2321210516182215,เรื่อง
114,2.625985248047906,กี่
115,2.3848231912310176,อะ
116,2.538973871058276,ร์
117,2.538973871058276,กับ
118,3.6375861597263857,เบอร์
119,2.7212954278522306,ครั้ง
120,2.2512917986064953,อยู่
121,3.6375861597263857,์
122,2.826655943510057,งาน
123,3.414442608412176,โดน
124,2.0794415416798357,บอก
125,2.1906671767900603,เ
126,3.9252682321781664,ไ
127,3.414442608412176,คืน
128,2.3848231912310176,ต้องการ
129,2.3158303197440664,มาก
130,4.330733340286331,ลน
131,2.625985248047906,เท่าไหร่
132,2.625985248047906,กรอก
133,2.625985248047906,ร
134,3.414442608412176,ตาม
135,3.077970371790963,กีฬา
136,2.826655943510057,ครบ
137,2.826655943510057,เกิน
138,2.3158303197440664,ดี
139,3.077970371790963,เมล
140,3.2321210516182215,ติด
141,2.9444389791664403,เกมส์
142,3.2321210516182215,ตัง
143,2.3158303197440664,หรือ
144,3.6375861597263857,ปฏิเสธ
145,2.3158303197440664,ก็
146,2.7212954278522306,ตัว
147,3.414442608412176,ลบ
148,2.7212954278522306,ของ
149,2.625985248047906,สุด
150,2.7212954278522306,ข้อ
151,2.625985248047906,เช็ค
152,2.9444389791664403,หาย
153,3.6375861597263857,ฟาส
154,3.2321210516182215,เวียน
155,2.826655943510057,เซ
156,2.4589311633847397,อย่าง
157,2.625985248047906,เกม
158,2.538973871058276,พอ
159,2.625985248047906,วิธี
160,3.9252682321781664,แลก
161,3.414442608412176,โท
162,3.077970371790963,อื่น
163,2.625985248047906,ต่อ
164,2.538973871058276,จัง
165,3.9252682321781664,เพื่อน
166,3.6375861597263857,หมุนฟรี
167,2.7212954278522306,กวน
168,3.2321210516182215,เปิด
169,2.7212954278522306,สามารถ
170,2.625985248047906,ถ้า
171,2.538973871058276,ใช่
172,2.625985248047906,เปล่า
173,3.414442608412176,ลิ้ง
174,2.9444389791664403,ๆ
175,3.414442608412176,สล็อต
176,3.414442608412176,สำเร็จ
177,3.6375861597263857,fast
178,3.6375861597263857,baht
179,2.7212954278522306,รบ
180,3.2321210516182215,มูล
181,3.9252682321781664,มั้ย
182,2.826655943510057,ช้า
183,3.2321210516182215,คาสิโน
184,2.7212954278522306,ปัญหา
185,3.414442608412176,กี้
186,2.9444389791664403,เวลา
187,3.077970371790963,คุณ
188,3.414442608412176,สด
189,3.6375861597263857,แนะ
190,3.6375861597263857,นำ
191,3.077970371790963,เนม
192,2.826655943510057,พี่
193,3.2321210516182215,ยุ
194,3.077970371790963,เพิ่ม
195,3.077970371790963,ส่ง
196,2.826655943510057,รอบ
197,3.414442608412176,เอ
198,3.6375861597263857,แต้ม
199,3.2321210516182215,ค่า
200,2.9444389791664403,บันชี
201,2.826655943510057,ไว้
202,3.6375861597263857,เชอ
203,2.826655943510057,ป่ะ
204,3.414442608412176,บ
205,3.077970371790963,เอา
206,3.2321210516182215,อีเมล
207,3.077970371790963,ก่อน
208,3.077970371790963,ป่าว
209,3.077970371790963,รู้
210,3.414442608412176,เคลีย
211,3.414442608412176,โมง
212,3.414442608412176,ภาย
213,3.077970371790963,วอ
