INDEX,class,radius
434,434,1.3165427383621746
439,439,1.2637483658175248
462,462,1.3660031545821256
465,465,1.3031390059277523
466,466,1.2362465912561802
467,467,1.267098461901188
468,468,1.3299598312799639
469,469,1.090088006175792
470,470,1.2074745854799527
471,471,1.0369148799090986
472,472,0.8445928791653853
473,473,1.0438712099075707
474,474,1.2499802799938748
476,476,0.6437573517541855
477,477,1.1296645284788505
478,478,1.1945207461705942
479,479,1.3167388716341555
481,481,1.1454419518942893
482,482,1.1388369712813506
484,484,0.71874533972905
489,489,1.0809823885301064
490,490,0.8421724035065488
491,491,1.3287874176566175
492,492,0.8772174391951242
504,504,1.1179500832967766
505,505,1.0670200728170316
506,506,1.0851420037021344
508,508,1.023515861536455
509,509,1.0201888675315651
516,516,0.7653668647301796
517,517,0.7653668647301796
518,518,0.7653668647301795
520,520,1.3391448659600718
521,521,1.2721118408873895
522,522,1.2348745405765946
523,523,1.1672430178307247
524,524,0.6199342442237147
526,526,0.9897355529649421
527,527,1.1374814191462372
528,528,1.135579767857188
531,531,1.3777086769376665
535,535,1.0376367014262868
536,536,1.171113659453192
537,537,1.3653530139788599
538,538,1.3534410990445265
539,539,1.294146287862753
541,541,1.3070069577313872
542,542,1.0990346410205076
543,543,1.3652459120181788
545,545,1.2708901468246514
547,547,1.2571905438023259
549,549,0.7167270572826332
550,550,1.197620667448138
555,555,1.1190887188325962
559,559,1.3700669702421433
560,560,0.8141529845244335
563,563,0.8950316872709742
564,564,1.2422915587975907
565,565,1.2231510292909087
566,566,1.2200558637578238
567,567,1.216930008177344
570,570,1.2832124353636682
571,571,1.1579020566199665
572,572,1.3289172514888405
573,573,1.354906482664603
574,574,0.7643942811019283
575,575,1.162395772775504
576,576,1.2800778695603323
577,577,0.0
578,578,1.2890235151722291
579,579,1.3370802587826287
582,582,1.339284869566355
583,583,1.2842067539604314
585,585,0.6476499284978011
586,586,0.9845231855516788
587,587,0.9593373548304214
588,588,1.243067720930343
589,589,1.30581010818767
590,590,1.350530020444947
591,591,1.0245281440517107
592,592,1.368556671023781
593,593,1.3588451536091741
594,594,1.3128884406761958
595,595,1.2815667740181325
596,596,1.2420149821145434
597,597,1.1971970567166896
598,598,1.3618900429494794
599,599,1.2952823648994054
600,600,1.246005203843828
601,601,1.3594118381176992
605,605,1.3174323300684265
606,606,1.3526093345884327
607,607,1.3148761031062457
610,610,1.2144270985589998
612,612,1.3174597777439345
613,613,1.3400697606923861
614,614,1.339669775977236
615,615,1.3784446847843868
616,616,1.2629852564902098
630,630,1.3224417205742887
636,636,1.1875707618909581
637,637,1.3435269151913893
638,638,1.3673291970747246
640,640,1.1016055102825864
641,641,1.2865902145213515
642,642,1.3227988471507048
643,643,1.2121518468147
644,644,1.2496819117478144
645,645,1.330048424415091
646,646,1.3094110103984915
647,647,1.3338926280193735
648,648,1.1121329821192127
650,650,1.2581053686200605
663,663,1.3565479603088542
668,668,1.377210812953462
669,669,0.973256920955061
670,670,1.3183709813412183
671,671,1.3490820154074177
674,674,1.3674723069547312
675,675,1.3405686387037985
676,676,1.3340215847025325
677,677,1.2079457048544817
678,678,1.2346018504847267
679,679,1.2476154511371735
680,680,1.2968860143352285
681,681,1.3884046173959546
682,682,1.0183146155354954
683,683,1.1851235006585268
690,690,1.2684736056898647
691,691,1.3534923119621316
692,692,1.1876525582130653
693,693,1.266643114568036
694,694,1.149785709898376
695,695,1.374177592284872
696,696,1.1630492746052927
697,697,1.2472449032156776
698,698,1.1240745438216266
703,703,1.2494313286593033
705,705,0.7122236150841961
708,708,0.7982808545311304
710,710,0.46533426098500996
711,711,0.9038182757028769
712,712,1.1173042958493349
713,713,0.9003754400509664
714,714,1.3121880405705293
715,715,1.110490898906849
716,716,0.9670031413592409
719,719,1.3580456356649022
730,730,1.2636634561481248
731,731,1.0593189855886653
732,732,0.7724043708046986
733,733,1.3838539576991025
734,734,1.2158200999272413
735,735,0.9954263184004637
736,736,1.3168646923643454
737,737,1.3220627740204534
738,738,1.3385933700923554
739,739,1.261848971299083
740,740,1.1605995711508652
741,741,1.3398098067136741
744,744,1.3370718563349608
745,745,1.2286075520530266
747,747,0.9550793309358424
748,748,1.1133589139265252
749,749,1.1040155780475298
750,750,1.1552016706678554
751,751,1.1013537404725833
752,752,1.2268454036540453
753,753,0.9604137280974803
755,755,1.230238280946125
756,756,1.3044121663520705
757,757,1.1892121761449288
758,758,1.2174614147965572
759,759,1.2533365598121498
760,760,1.2284107568635254
761,761,1.2025808836795278
762,762,1.3772268617009935
765,765,0.3945284818728251
766,766,1.3782030317911786
767,767,1.2232368135373755
768,768,1.1405792466329097
769,769,1.179407917080135
770,770,1.3348613963232894
772,772,1.2474478793833115
774,774,1.3533752762053715
775,775,1.1721542532102707
777,777,1.3389298696632796
778,778,0.4237996114026612
780,780,1.256154669613226
781,781,1.2209341747438627
784,784,1.1257383251820223
808,808,1.0001736061376867
809,809,1.236748183235677
810,810,0.9877294899064436
811,811,1.079327902836228
812,812,0.9407140843349518
813,813,0.9707511029046887
814,814,1.2273530639548833
815,815,1.1453863833535662
816,816,1.2729748625409065
819,819,0.8955571985574565
820,820,0.7847966538664326
830,830,1.257338233281844
831,831,1.0234873871223842
833,833,1.078983025070681
835,835,1.3868404599710606
836,836,1.2270349697814469
837,837,1.044023764014567
839,839,1.1287502654092667
845,845,1.2175832948266903
847,847,1.061149357718083
848,848,0.9980627146590396
849,849,1.3634576035097503
853,853,1.0190326924966322
854,854,1.1583805471884356
855,855,0.9853447887432069
856,856,1.3562725526756878
857,857,1.0149207669668932
859,859,1.0451018077813536
860,860,0.9944171959345014
861,861,0.912571110148227
862,862,1.0588904061376718
863,863,1.14074778624096
864,864,1.100032766124563
865,865,1.1826299841827725
866,866,1.0215278474107385
867,867,1.1223793672823488
868,868,1.1336894227747765
869,869,1.004785430646566
870,870,1.1790684864086514
871,871,1.1561826304699412
872,872,1.055928129955087
873,873,1.2953782140918602
874,874,1.2353685815877542
876,876,1.2619694146927056
877,877,1.381675984371465
878,878,0.5605469495041655
879,879,1.319943553256051
880,880,0.8098737201264015
881,881,1.312954535567378
882,882,1.3075842780958116
883,883,1.2704086477622414
884,884,1.2678939211241502
885,885,1.3048235834695103
886,886,1.0513593088122748
887,887,1.255578620635113
888,888,1.3171718190789115
889,889,1.331546525492486
890,890,0.6346886509912281
891,891,1.3215559835632156
892,892,0.8117589656180775
893,893,1.305695895910304
894,894,1.2389987573017673
895,895,0.5650359528355596
898,898,0.6642026153065533
900,900,0.535603280104333
901,901,0.535603280104333
902,902,0.49403413694020815
903,903,0.49403413694020815
904,904,0.49403413694020815
906,906,1.2266399505964312
908,908,1.3202922458220216
909,909,0.9677578469195469
910,910,0.9021457123340828
911,911,1.3823781254577618
912,912,1.1436943751429984
918,918,0.8440372065860307
919,919,1.1353891088979136
921,921,1.1740128796789349
922,922,1.2961625004313608
925,925,1.3215299768557331
931,931,0.878633445668592
932,932,1.3107375106816574
933,933,1.2185640127683477
934,934,1.3015980661006907
935,935,1.387682365981952
936,936,1.1440709691615174
937,937,0.8810077149989123
938,938,1.0581796842567797
939,939,0.4795211607163305
940,940,1.004535565572948
941,941,0.6921102622909958
946,946,1.3980547876579843
